path,category,instruction,anno
./data/scripted_raw/2022-12-08_pnp_rigid_objects/2022-12-08_15-22-17/raw/traj_group0/traj0,2022-12-08_pnp_rigid_objects,"In order to pick up the object, the robot should",False
./data/scripted_raw/2022-12-08_pnp_rigid_objects/2022-12-08_15-22-17/raw/traj_group0/traj1,2022-12-08_pnp_rigid_objects,"To move the object to a new location, the robot must",False
./data/scripted_raw/2022-12-08_pnp_rigid_objects/2022-12-08_15-22-17/raw/traj_group0/traj10,2022-12-08_pnp_rigid_objects,"In order to grasp and relocate the item, the robot should",False
./data/scripted_raw/2022-12-08_pnp_rigid_objects/2022-12-08_15-22-17/raw/traj_group0/traj11,2022-12-08_pnp_rigid_objects,"To manipulate the objects in front of it, the robot must",False
./data/scripted_raw/2022-12-08_pnp_rigid_objects/2022-12-08_15-22-17/raw/traj_group0/traj12,2022-12-08_pnp_rigid_objects,"In order to complete the task of moving the utensils, the robot should",False
./data/scripted_raw/2022-12-08_pnp_rigid_objects/2022-12-08_15-22-17/raw/traj_group0/traj13,2022-12-08_pnp_rigid_objects,"In order to pick up the object, the robot should",False
./data/scripted_raw/2022-12-08_pnp_rigid_objects/2022-12-08_15-22-17/raw/traj_group0/traj14,2022-12-08_pnp_rigid_objects,"To move the object to a new location, the robot must",False
./data/scripted_raw/2022-12-08_pnp_rigid_objects/2022-12-08_15-22-17/raw/traj_group0/traj15,2022-12-08_pnp_rigid_objects,"In order to grasp and relocate the item, the robot should",False
./data/scripted_raw/2022-12-08_pnp_rigid_objects/2022-12-08_15-22-17/raw/traj_group0/traj16,2022-12-08_pnp_rigid_objects,"To manipulate the objects in front of it, the robot must",False
./data/scripted_raw/2022-12-08_pnp_rigid_objects/2022-12-08_15-22-17/raw/traj_group0/traj17,2022-12-08_pnp_rigid_objects,"In order to complete the task of moving the utensils, the robot should",False
./data/scripted_raw/2022-12-08_pnp_rigid_objects/2022-12-08_15-22-17/raw/traj_group0/traj18,2022-12-08_pnp_rigid_objects,"In order to pick up the object, the robot should",False
./data/scripted_raw/2022-12-08_pnp_rigid_objects/2022-12-08_15-22-17/raw/traj_group0/traj19,2022-12-08_pnp_rigid_objects,"To move the object to a new location, the robot must",False
./data/scripted_raw/2022-12-08_pnp_rigid_objects/2022-12-08_15-22-17/raw/traj_group0/traj2,2022-12-08_pnp_rigid_objects,"In order to grasp and relocate the item, the robot should",False
./data/scripted_raw/2022-12-08_pnp_rigid_objects/2022-12-08_15-22-17/raw/traj_group0/traj20,2022-12-08_pnp_rigid_objects,"To manipulate the objects in front of it, the robot must",False
./data/scripted_raw/2022-12-08_pnp_rigid_objects/2022-12-08_15-22-17/raw/traj_group0/traj21,2022-12-08_pnp_rigid_objects,"In order to complete the task of moving the utensils, the robot should",False
./data/scripted_raw/2022-12-08_pnp_rigid_objects/2022-12-08_15-22-17/raw/traj_group0/traj22,2022-12-08_pnp_rigid_objects,"In order to pick up the object, the robot should",False
./data/scripted_raw/2022-12-08_pnp_rigid_objects/2022-12-08_15-22-17/raw/traj_group0/traj23,2022-12-08_pnp_rigid_objects,"To move the object to a new location, the robot must",False
./data/scripted_raw/2022-12-08_pnp_rigid_objects/2022-12-08_15-22-17/raw/traj_group0/traj24,2022-12-08_pnp_rigid_objects,"In order to grasp and relocate the item, the robot should",False
./data/scripted_raw/2022-12-08_pnp_rigid_objects/2022-12-08_15-22-17/raw/traj_group0/traj25,2022-12-08_pnp_rigid_objects,"To manipulate the objects in front of it, the robot must",False
./data/scripted_raw/2022-12-08_pnp_rigid_objects/2022-12-08_15-22-17/raw/traj_group0/traj26,2022-12-08_pnp_rigid_objects,"In order to complete the task of moving the utensils, the robot should",False
./data/scripted_raw/2022-12-08_pnp_rigid_objects/2022-12-08_15-22-17/raw/traj_group0/traj27,2022-12-08_pnp_rigid_objects,"In order to pick up the object, the robot should",False
./data/scripted_raw/2022-12-08_pnp_rigid_objects/2022-12-08_15-22-17/raw/traj_group0/traj28,2022-12-08_pnp_rigid_objects,"To move the object to a new location, the robot must",False
